id_produk,nama_produk,review,id_user,nama_akun,rating_user,ulasan_produk,waktu_review,varian_produk
PI0105,Logitech G733 Lightspeed - Wireless Gaming Headset - Hitam,18,UI0088,Hendro,5,kayakny trouble baterainy ini padahal lumayan bagus,Lebih dari 1 tahun lalu,Varian: Hitam
PI0105,Logitech G733 Lightspeed - Wireless Gaming Headset - Hitam,19,UI0060,Muhammad,5,"ringan banget headphonenya, kualitas suaranya jernih tapi untuk micnya kurang jernih, dan busa kurang empuk, response dari toko cepat",Lebih dari 1 tahun lalu,Varian: Putih
PI0105,Logitech G733 Lightspeed - Wireless Gaming Headset - Hitam,20,UI0079,Alvin,5,RECOMENDED BANGET BARANG ORI. ADMIN SUPER RAMAH.,Lebih dari 1 tahun lalu,Varian: Putih
PI0105,Logitech G733 Lightspeed - Wireless Gaming Headset - Hitam,21,UI0089,O***g,5,bagus tidak delay,Lebih dari 1 tahun lalu,Varian: Putih
PI0105,Logitech G733 Lightspeed - Wireless Gaming Headset - Hitam,22,UI0090,A***d,5,mantap,Lebih dari 1 tahun lalu,Varian: Hitam
PI0105,Logitech G733 Lightspeed - Wireless Gaming Headset - Hitam,23,UI0091,Admiral,5,"Barang dan box aman, pengiriman cepat. Mantap jiwa…",Lebih dari 1 tahun lalu,Varian: Hitam
PI0105,Logitech G733 Lightspeed - Wireless Gaming Headset - Hitam,24,UI0060,Muhammad,5,"gak barang aja dikasi,, hadiah lain jg dikirim,, thx t shirt.a y admin..",Lebih dari 1 tahun lalu,Varian: Hitam
PI0105,Logitech G733 Lightspeed - Wireless Gaming Headset - Hitam,25,UI0092,Januar,5,"Proses cepat, cuman bales chat nya mungkin karena ramai yg chat jd agak slow respon, dr toko masih di dalem mallnya uda belanja disini, pokoknya gk pernah kecewa!!!! Rec...",Lebih dari 1 tahun lalu,Varian: Hitam
PI0105,Logitech G733 Lightspeed - Wireless Gaming Headset - Hitam,26,UI0093,Daffa,5,"mantap banget ni headset, polll, seller responsif, dikirim ke kurir cepat, pokoknya topp markotop",Lebih dari 1 tahun lalu,Varian: Putih
PI0105,Logitech G733 Lightspeed - Wireless Gaming Headset - Hitam,27,UI0064,R***a,5,"Barang bagus,dalam pengiriman box tidak ada yg rusak,Barang sesuai dengan yg di pesan . Thankss Gan..",Lebih dari 1 tahun lalu,Varian: Putih
